productid,brand,category,subcategory,name
HBV00000AX6LR,Palette,Kişisel Bakım,Saç Bakımı,Palette Kalıcı Doğal Renkler 10-4 PAPATYA
HBV00000BSAQG,Best,Pet Shop,Kedi,Best Pet Jöle İçinde Parça Etli Somonlu Konserve Yetişkin Kedi Maması 415 gr
HBV00000JUHBA,Tarım Kredi,Temel Gıda,"Bakliyat, Pirinç, Makarna",Türkiye Tarım Kredi Koop.Yeşil Mercimek 1 kg
HBV00000NE0QI,Namet,"Et, Balık, Şarküteri",Şarküteri,Namet Fıstıklı Macar Salam 100 gr
HBV00000NE0UQ,Muratbey,Kahvaltılık ve Süt,Peynir,Muratbey Burgu Peyniri 250 gr
HBV00000NE1NR,Sek,Kahvaltılık ve Süt,Yoğurt,Sek Quark Sade 140 g
HBV00000NH2LJ,Sırmakeş,Su,Su,"Sırmakeş Doğal Kaynak Suyu 1,5 lt"
HBV00000NVZ7D,Asil Fırın,Fırın,Tatlı ve Tuzlu Kurabiyeler,Asil Fırın Gurme Cookie Çikolata 8'li
HBV00000NVZCG,,Meyve ve Sebze,Meyve,Granny Smith Elma 500 gr
HBV00000OEL9Q,,Fırın,Ekmekler,Ekşi Mayalı Ekmek 1 Kg
HBV00000OFHWS,Dtc,Fırın,Ekmekler,Dtc Organik Ekmek 500 gr
HBV00000OMGZY,Doğan Kitap,Oyuncak ve Kırtasiye,Gazete ve Dergi,Cumhuriyet Gazetesi
HBV00000PLHEY,Astonish,Ev Bakım ve Temizlik,Mutfak Ve Banyo Ürünleri,Astonish Paslanmaz Çelik Temizleyici 750 Ml
HBV00000PNGOO,Lindt,Atıştırmalık,"Çikolata, Gofret ve Barlar",Lindt Swiss Tradition 145 g
HBV00000PQIYN,Şölen,Atıştırmalık,"Çikolata, Gofret ve Barlar",Şölen Biscolata Nirvana Roll Fındıklı 28 Gr
HBV00000PQJG9,Dr. Oetker,Tatlı,Tatlı Malzemeleri,Dr Oetker Profıterol 360 gr
HBV00000PQJH1,Dr. Oetker,Tatlı,Tatlı Malzemeleri,Dr. Oetker Puding Vanilyalı 120 Gr
